REF_DATE,GEO,Field of study,VALUE
2023/2024,Canada,Nursing,6973.0
2019/2020,Canada,Pharmacy,4245.0
2020/2021,Canada,Pharmacy,4171.0
2021/2022,Canada,Pharmacy,4340.0
2022/2023,Canada,Pharmacy,4036.0
2023/2024,Canada,Pharmacy,4109.0
2019/2020,Canada,Veterinary medicine,4170.0
2020/2021,Canada,Veterinary medicine,3948.0
2021/2022,Canada,Veterinary medicine,3968.0
2022/2023,Canada,Veterinary medicine,4175.0
2023/2024,Canada,Veterinary medicine,4236.0
2019/2020,Canada,Optometry,4508.0
2020/2021,Canada,Optometry,4508.0
2021/2022,Canada,Optometry,4508.0
2022/2023,Canada,Optometry,4508.0
2023/2024,Canada,Optometry,4508.0
2019/2020,Canada,"Other health, parks, recreation and fitness",8401.0
2020/2021,Canada,"Other health, parks, recreation and fitness",8570.0
2021/2022,Canada,"Other health, parks, recreation and fitness",7043.0
2022/2023,Canada,"Other health, parks, recreation and fitness",7036.0
2023/2024,Canada,"Other health, parks, recreation and fitness",7190.0
2019/2020,Canada,"Personal, protective and transportation services",5513.0
2020/2021,Canada,"Personal, protective and transportation services",4500.0
2021/2022,Canada,"Personal, protective and transportation services",5795.0
2022/2023,Canada,"Personal, protective and transportation services",6591.0
2023/2024,Canada,"Personal, protective and transportation services",6660.0
2019/2020,Newfoundland and Labrador,"Total, field of study",2894.0
2020/2021,Newfoundland and Labrador,"Total, field of study",2825.0
2021/2022,Newfoundland and Labrador,"Total, field of study",3386.0
2022/2023,Newfoundland and Labrador,"Total, field of study",3228.0
2023/2024,Newfoundland and Labrador,"Total, field of study",3228.0
2019/2020,Newfoundland and Labrador,Education,2391.0
2020/2021,Newfoundland and Labrador,Education,2404.0
2021/2022,Newfoundland and Labrador,Education,3161.0
2022/2023,Newfoundland and Labrador,Education,3692.0
2023/2024,Newfoundland and Labrador,Education,3692.0
2019/2020,Newfoundland and Labrador,"Visual and performing arts, and communications technologies",3010.0
2020/2021,Newfoundland and Labrador,"Visual and performing arts, and communications technologies",3291.0
2021/2022,Newfoundland and Labrador,"Visual and performing arts, and communications technologies",3513.0
2022/2023,Newfoundland and Labrador,"Visual and performing arts, and communications technologies",3264.0
2023/2024,Newfoundland and Labrador,"Visual and performing arts, and communications technologies",3264.0
2019/2020,Newfoundland and Labrador,Humanities,2702.0
2020/2021,Newfoundland and Labrador,Humanities,2580.0
2021/2022,Newfoundland and Labrador,Humanities,3192.0
2022/2023,Newfoundland and Labrador,Humanities,2586.0
2023/2024,Newfoundland and Labrador,Humanities,2586.0
2019/2020,Newfoundland and Labrador,"Social and behavioural sciences, and legal studies ",2733.0
2020/2021,Newfoundland and Labrador,"Social and behavioural sciences, and legal studies ",2732.0
2021/2022,Newfoundland and Labrador,"Social and behavioural sciences, and legal studies ",3255.0
2022/2023,Newfoundland and Labrador,"Social and behavioural sciences, and legal studies ",3808.0
2023/2024,Newfoundland and Labrador,"Social and behavioural sciences, and legal studies ",3808.0
2019/2020,Newfoundland and Labrador,"Business, management and public administration",2843.0
2020/2021,Newfoundland and Labrador,"Business, management and public administration",2796.0
2021/2022,Newfoundland and Labrador,"Business, management and public administration",3308.0
2022/2023,Newfoundland and Labrador,"Business, management and public administration",3012.0
2023/2024,Newfoundland and Labrador,"Business, management and public administration",3012.0
2019/2020,Newfoundland and Labrador,Regular MBA,2610.0
2020/2021,Newfoundland and Labrador,Regular MBA,2564.0
2021/2022,Newfoundland and Labrador,Regular MBA,3022.0
2022/2023,Newfoundland and Labrador,Regular MBA,1981.0
2023/2024,Newfoundland and Labrador,Regular MBA,1981.0
2019/2020,Newfoundland and Labrador,Physical and life sciences and technologies,2630.0
2020/2021,Newfoundland and Labrador,Physical and life sciences and technologies,2693.0
2021/2022,Newfoundland and Labrador,Physical and life sciences and technologies,3199.0
2022/2023,Newfoundland and Labrador,Physical and life sciences and technologies,2675.0
2023/2024,Newfoundland and Labrador,Physical and life sciences and technologies,2675.0
2019/2020,Newfoundland and Labrador,"Mathematics, computer and information sciences",2234.0
2020/2021,Newfoundland and Labrador,"Mathematics, computer and information sciences",2317.0
2021/2022,Newfoundland and Labrador,"Mathematics, computer and information sciences",3123.0
2022/2023,Newfoundland and Labrador,"Mathematics, computer and information sciences",3270.0
2023/2024,Newfoundland and Labrador,"Mathematics, computer and information sciences",3270.0
2019/2020,Newfoundland and Labrador,Engineering,2253.0
2020/2021,Newfoundland and Labrador,Engineering,2378.0
2021/2022,Newfoundland and Labrador,Engineering,3019.0
2022/2023,Newfoundland and Labrador,Engineering,2230.0
2023/2024,Newfoundland and Labrador,Engineering,2230.0
2019/2020,Newfoundland and Labrador,"Agriculture, natural resources and conservation",2698.0
2020/2021,Newfoundland and Labrador,"Agriculture, natural resources and conservation",2760.0
2021/2022,Newfoundland and Labrador,"Agriculture, natural resources and conservation",3295.0
2022/2023,Newfoundland and Labrador,"Agriculture, natural resources and conservation",4105.0
2023/2024,Newfoundland and Labrador,"Agriculture, natural resources and conservation",4105.0
2019/2020,Newfoundland and Labrador,Nursing,2191.0
2020/2021,Newfoundland and Labrador,Nursing,2358.0
2021/2022,Newfoundland and Labrador,Nursing,2966.0
2022/2023,Newfoundland and Labrador,Nursing,2360.0
2023/2024,Newfoundland and Labrador,Nursing,2360.0
2019/2020,Newfoundland and Labrador,Pharmacy,2260.0
2020/2021,Newfoundland and Labrador,Pharmacy,2197.0
2021/2022,Newfoundland and Labrador,Pharmacy,2970.0
2022/2023,Newfoundland and Labrador,Pharmacy,2141.0
2023/2024,Newfoundland and Labrador,Pharmacy,2141.0
2019/2020,Newfoundland and Labrador,"Other health, parks, recreation and fitness",6000.0
2020/2021,Newfoundland and Labrador,"Other health, parks, recreation and fitness",6000.0
2021/2022,Newfoundland and Labrador,"Other health, parks, recreation and fitness",6000.0
2022/2023,Newfoundland and Labrador,"Other health, parks, recreation and fitness",6000.0
2023/2024,Newfoundland and Labrador,"Other health, parks, recreation and fitness",6000.0
2019/2020,Prince Edward Island,"Total, field of study",4996.0
2020/2021,Prince Edward Island,"Total, field of study",5137.0
2021/2022,Prince Edward Island,"Total, field of study",5273.0
2022/2023,Prince Edward Island,"Total, field of study",5582.0
2023/2024,Prince Edward Island,"Total, field of study",5805.0
2019/2020,Prince Edward Island,Education,5384.0
2020/2021,Prince Edward Island,Education,5485.0
2021/2022,Prince Edward Island,Education,5535.0
2022/2023,Prince Edward Island,Education,5637.0
2023/2024,Prince Edward Island,Education,5862.0
2020/2021,Prince Edward Island,"Social and behavioural sciences, and legal studies ",7192.0
2021/2022,Prince Edward Island,"Social and behavioural sciences, and legal studies ",7264.0
2022/2023,Prince Edward Island,"Social and behavioural sciences, and legal studies ",7408.0
2023/2024,Prince Edward Island,"Social and behavioural sciences, and legal studies ",7706.0
2019/2020,Prince Edward Island,Executive MBA,18382.0
2020/2021,Prince Edward Island,Executive MBA,18753.0
2021/2022,Prince Edward Island,Executive MBA,18942.0
2022/2023,Prince Edward Island,Executive MBA,19320.0
2023/2024,Prince Edward Island,Executive MBA,20090.0
2019/2020,Prince Edward Island,Regular MBA,20006.0
2020/2021,Prince Edward Island,Regular MBA,20412.0
2021/2022,Prince Edward Island,Regular MBA,20622.0
2022/2023,Prince Edward Island,Regular MBA,21028.0
2023/2024,Prince Edward Island,Regular MBA,21868.0
2019/2020,Prince Edward Island,Physical and life sciences and technologies,4215.0
2020/2021,Prince Edward Island,Physical and life sciences and technologies,4300.0
2021/2022,Prince Edward Island,Physical and life sciences and technologies,4344.0
2022/2023,Prince Edward Island,Physical and life sciences and technologies,4431.0
2023/2024,Prince Edward Island,Physical and life sciences and technologies,4610.0
2019/2020,Prince Edward Island,Engineering,4215.0
2020/2021,Prince Edward Island,Engineering,4300.0
2021/2022,Prince Edward Island,Engineering,4344.0
2022/2023,Prince Edward Island,Engineering,4431.0
2023/2024,Prince Edward Island,Engineering,4610.0
2019/2020,Prince Edward Island,"Agriculture, natural resources and conservation",4215.0
2020/2021,Prince Edward Island,"Agriculture, natural resources and conservation",4300.0
2021/2022,Prince Edward Island,"Agriculture, natural resources and conservation",4344.0
2022/2023,Prince Edward Island,"Agriculture, natural resources and conservation",4431.0
2023/2024,Prince Edward Island,"Agriculture, natural resources and conservation",4610.0
2019/2020,Prince Edward Island,Nursing,4215.0
2020/2021,Prince Edward Island,Nursing,4300.0
2021/2022,Prince Edward Island,Nursing,4344.0
2022/2023,Prince Edward Island,Nursing,4431.0
2023/2024,Prince Edward Island,Nursing,4610.0
2019/2020,Prince Edward Island,Veterinary medicine,4215.0
2020/2021,Prince Edward Island,Veterinary medicine,4300.0
2021/2022,Prince Edward Island,Veterinary medicine,4344.0
2022/2023,Prince Edward Island,Veterinary medicine,4431.0
2023/2024,Prince Edward Island,Veterinary medicine,4610.0
2019/2020,Prince Edward Island,"Other health, parks, recreation and fitness",6558.0
2020/2021,Prince Edward Island,"Other health, parks, recreation and fitness",6690.0
2021/2022,Prince Edward Island,"Other health, parks, recreation and fitness",6759.0
2022/2023,Prince Edward Island,"Other health, parks, recreation and fitness",6894.0
2023/2024,Prince Edward Island,"Other health, parks, recreation and fitness",7170.0
2019/2020,Nova Scotia,"Total, field of study",9500.0
2020/2021,Nova Scotia,"Total, field of study",9854.0
2021/2022,Nova Scotia,"Total, field of study",10277.0
2022/2023,Nova Scotia,"Total, field of study",10240.0
2023/2024,Nova Scotia,"Total, field of study",10548.0
2019/2020,Nova Scotia,Education,6228.0
2020/2021,Nova Scotia,Education,6415.0
2021/2022,Nova Scotia,Education,7365.0
2022/2023,Nova Scotia,Education,7388.0
2023/2024,Nova Scotia,Education,7627.0
2019/2020,Nova Scotia,"Visual and performing arts, and communications technologies",8725.0
2020/2021,Nova Scotia,"Visual and performing arts, and communications technologies",8688.0
2021/2022,Nova Scotia,"Visual and performing arts, and communications technologies",8767.0
2022/2023,Nova Scotia,"Visual and performing arts, and communications technologies",9026.0
2023/2024,Nova Scotia,"Visual and performing arts, and communications technologies",9306.0
2019/2020,Nova Scotia,Humanities,7741.0
2020/2021,Nova Scotia,Humanities,7932.0
2021/2022,Nova Scotia,Humanities,8269.0
2022/2023,Nova Scotia,Humanities,8567.0
2023/2024,Nova Scotia,Humanities,8862.0
2019/2020,Nova Scotia,"Social and behavioural sciences, and legal studies ",7058.0
2020/2021,Nova Scotia,"Social and behavioural sciences, and legal studies ",7215.0
2021/2022,Nova Scotia,"Social and behavioural sciences, and legal studies ",7444.0
2022/2023,Nova Scotia,"Social and behavioural sciences, and legal studies ",7232.0
2023/2024,Nova Scotia,"Social and behavioural sciences, and legal studies ",7448.0
2019/2020,Nova Scotia,Law,7803.0
2020/2021,Nova Scotia,Law,8224.0
2021/2022,Nova Scotia,Law,8151.0
2022/2023,Nova Scotia,Law,8344.0
2023/2024,Nova Scotia,Law,8617.0
2019/2020,Nova Scotia,"Business, management and public administration",12122.0
2020/2021,Nova Scotia,"Business, management and public administration",12165.0
2021/2022,Nova Scotia,"Business, management and public administration",13145.0
2022/2023,Nova Scotia,"Business, management and public administration",12070.0
2023/2024,Nova Scotia,"Business, management and public administration",12249.0
2019/2020,Nova Scotia,Executive MBA,24931.0
2020/2021,Nova Scotia,Executive MBA,25112.0
2022/2023,Nova Scotia,Executive MBA,24792.0
2023/2024,Nova Scotia,Executive MBA,28042.0
2019/2020,Nova Scotia,Regular MBA,17452.0
2020/2021,Nova Scotia,Regular MBA,17531.0
2021/2022,Nova Scotia,Regular MBA,18468.0
2022/2023,Nova Scotia,Regular MBA,22862.0
2023/2024,Nova Scotia,Regular MBA,23640.0
2019/2020,Nova Scotia,Physical and life sciences and technologies,8174.0
2020/2021,Nova Scotia,Physical and life sciences and technologies,8394.0
2021/2022,Nova Scotia,Physical and life sciences and technologies,8759.0
2022/2023,Nova Scotia,Physical and life sciences and technologies,8949.0
2023/2024,Nova Scotia,Physical and life sciences and technologies,9214.0
2019/2020,Nova Scotia,"Mathematics, computer and information sciences",8800.0
2020/2021,Nova Scotia,"Mathematics, computer and information sciences",8992.0
2021/2022,Nova Scotia,"Mathematics, computer and information sciences",9263.0
2022/2023,Nova Scotia,"Mathematics, computer and information sciences",9569.0
2023/2024,Nova Scotia,"Mathematics, computer and information sciences",9875.0
2019/2020,Nova Scotia,Engineering,8567.0
2020/2021,Nova Scotia,Engineering,8870.0
2021/2022,Nova Scotia,Engineering,9186.0
2022/2023,Nova Scotia,Engineering,9500.0
2023/2024,Nova Scotia,Engineering,9810.0
2019/2020,Nova Scotia,Architecture,9130.0
2020/2021,Nova Scotia,Architecture,9474.0
2021/2022,Nova Scotia,Architecture,9784.0
2022/2023,Nova Scotia,Architecture,10025.0
2023/2024,Nova Scotia,Architecture,10335.0
2019/2020,Nova Scotia,"Agriculture, natural resources and conservation",8966.0
2020/2021,Nova Scotia,"Agriculture, natural resources and conservation",9301.0
2021/2022,Nova Scotia,"Agriculture, natural resources and conservation",9558.0
2022/2023,Nova Scotia,"Agriculture, natural resources and conservation",9813.0
2023/2024,Nova Scotia,"Agriculture, natural resources and conservation",10123.0
2019/2020,Nova Scotia,Dentistry,21103.0
2020/2021,Nova Scotia,Dentistry,21965.0
2021/2022,Nova Scotia,Dentistry,22844.0
2022/2023,Nova Scotia,Dentistry,23529.0
2023/2024,Nova Scotia,Dentistry,24235.0
2019/2020,Nova Scotia,Nursing,9672.0
2020/2021,Nova Scotia,Nursing,9763.0
2021/2022,Nova Scotia,Nursing,9890.0
2022/2023,Nova Scotia,Nursing,10172.0
2023/2024,Nova Scotia,Nursing,10508.0
2019/2020,Nova Scotia,Pharmacy,11034.0
2020/2021,Nova Scotia,Pharmacy,10963.0
2021/2022,Nova Scotia,Pharmacy,11329.0
2019/2020,Nova Scotia,"Other health, parks, recreation and fitness",13161.0
2020/2021,Nova Scotia,"Other health, parks, recreation and fitness",13656.0
2021/2022,Nova Scotia,"Other health, parks, recreation and fitness",14061.0
2022/2023,Nova Scotia,"Other health, parks, recreation and fitness",14416.0
2023/2024,Nova Scotia,"Other health, parks, recreation and fitness",14864.0
2019/2020,New Brunswick,"Total, field of study",6424.0
2020/2021,New Brunswick,"Total, field of study",6678.0
2021/2022,New Brunswick,"Total, field of study",7020.0
2022/2023,New Brunswick,"Total, field of study",7186.0
2023/2024,New Brunswick,"Total, field of study",7446.0
2019/2020,New Brunswick,Education,6406.0
2020/2021,New Brunswick,Education,6621.0
2021/2022,New Brunswick,Education,6984.0
2022/2023,New Brunswick,Education,7227.0
2023/2024,New Brunswick,Education,7483.0
2019/2020,New Brunswick,Humanities,6423.0
2020/2021,New Brunswick,Humanities,6780.0
2021/2022,New Brunswick,Humanities,7035.0
2022/2023,New Brunswick,Humanities,7326.0
2023/2024,New Brunswick,Humanities,7593.0
2019/2020,New Brunswick,"Social and behavioural sciences, and legal studies ",6505.0
2020/2021,New Brunswick,"Social and behavioural sciences, and legal studies ",6730.0
2021/2022,New Brunswick,"Social and behavioural sciences, and legal studies ",7092.0
2022/2023,New Brunswick,"Social and behavioural sciences, and legal studies ",7274.0
2023/2024,New Brunswick,"Social and behavioural sciences, and legal studies ",7514.0
2019/2020,New Brunswick,Law,4269.0
2020/2021,New Brunswick,Law,4614.0
2021/2022,New Brunswick,Law,4986.0
2022/2023,New Brunswick,Law,5082.0
2023/2024,New Brunswick,Law,5178.0
2019/2020,New Brunswick,"Business, management and public administration",5122.0
2020/2021,New Brunswick,"Business, management and public administration",6245.0
2021/2022,New Brunswick,"Business, management and public administration",7319.0
2022/2023,New Brunswick,"Business, management and public administration",6229.0
2023/2024,New Brunswick,"Business, management and public administration",6374.0
2019/2020,New Brunswick,Regular MBA,6825.0
2020/2021,New Brunswick,Regular MBA,7072.0
2021/2022,New Brunswick,Regular MBA,7398.0
2022/2023,New Brunswick,Regular MBA,9882.0
2023/2024,New Brunswick,Regular MBA,10271.0
2019/2020,New Brunswick,Physical and life sciences and technologies,6263.0
2020/2021,New Brunswick,Physical and life sciences and technologies,6520.0
2021/2022,New Brunswick,Physical and life sciences and technologies,6802.0
2022/2023,New Brunswick,Physical and life sciences and technologies,7137.0
2023/2024,New Brunswick,Physical and life sciences and technologies,7382.0
2019/2020,New Brunswick,"Mathematics, computer and information sciences",6541.0
2020/2021,New Brunswick,"Mathematics, computer and information sciences",6775.0
2021/2022,New Brunswick,"Mathematics, computer and information sciences",7080.0
2022/2023,New Brunswick,"Mathematics, computer and information sciences",7401.0
2023/2024,New Brunswick,"Mathematics, computer and information sciences",7718.0
2019/2020,New Brunswick,Engineering,6975.0
2020/2021,New Brunswick,Engineering,7113.0
2021/2022,New Brunswick,Engineering,7326.0
2022/2023,New Brunswick,Engineering,7656.0
2023/2024,New Brunswick,Engineering,8001.0
2019/2020,New Brunswick,"Agriculture, natural resources and conservation",6521.0
2020/2021,New Brunswick,"Agriculture, natural resources and conservation",6808.0
2021/2022,New Brunswick,"Agriculture, natural resources and conservation",7013.0
2022/2023,New Brunswick,"Agriculture, natural resources and conservation",7293.0
2023/2024,New Brunswick,"Agriculture, natural resources and conservation",7591.0
2019/2020,New Brunswick,Nursing,5915.0
2020/2021,New Brunswick,Nursing,6259.0
2021/2022,New Brunswick,Nursing,6757.0
2022/2023,New Brunswick,Nursing,7008.0
2023/2024,New Brunswick,Nursing,7269.0
2019/2020,New Brunswick,"Other health, parks, recreation and fitness",6975.0
2020/2021,New Brunswick,"Other health, parks, recreation and fitness",6835.0
2021/2022,New Brunswick,"Other health, parks, recreation and fitness",7066.0
2022/2023,New Brunswick,"Other health, parks, recreation and fitness",7163.0
2023/2024,New Brunswick,"Other health, parks, recreation and fitness",7447.0
2019/2020,Quebec,"Total, field of study",3254.0
2020/2021,Quebec,"Total, field of study",3314.0
2021/2022,Quebec,"Total, field of study",3490.0
2022/2023,Quebec,"Total, field of study",3528.0
2023/2024,Quebec,"Total, field of study",3633.0
2019/2020,Quebec,Education,3005.0
2020/2021,Quebec,Education,3185.0
2021/2022,Quebec,Education,3294.0
2022/2023,Quebec,Education,3273.0
2023/2024,Quebec,Education,3371.0
2019/2020,Quebec,"Visual and performing arts, and communications technologies",3486.0
2020/2021,Quebec,"Visual and performing arts, and communications technologies",3616.0
2021/2022,Quebec,"Visual and performing arts, and communications technologies",3674.0
2022/2023,Quebec,"Visual and performing arts, and communications technologies",3714.0
2023/2024,Quebec,"Visual and performing arts, and communications technologies",3826.0
2019/2020,Quebec,Humanities,3713.0
2020/2021,Quebec,Humanities,3112.0
2021/2022,Quebec,Humanities,3246.0
2022/2023,Quebec,Humanities,3311.0
2023/2024,Quebec,Humanities,3411.0
2019/2020,Quebec,"Social and behavioural sciences, and legal studies ",2953.0
2020/2021,Quebec,"Social and behavioural sciences, and legal studies ",3066.0
2021/2022,Quebec,"Social and behavioural sciences, and legal studies ",3175.0
2022/2023,Quebec,"Social and behavioural sciences, and legal studies ",3237.0
2023/2024,Quebec,"Social and behavioural sciences, and legal studies ",3334.0
2019/2020,Quebec,Law,2781.0
2020/2021,Quebec,Law,2898.0
2021/2022,Quebec,Law,3020.0
2022/2023,Quebec,Law,3085.0
2023/2024,Quebec,Law,3177.0
2019/2020,Quebec,"Business, management and public administration",3226.0
2020/2021,Quebec,"Business, management and public administration",3327.0
2021/2022,Quebec,"Business, management and public administration",3826.0
2022/2023,Quebec,"Business, management and public administration",3717.0
2023/2024,Quebec,"Business, management and public administration",3829.0
2019/2020,Quebec,Executive MBA,13715.0
2020/2021,Quebec,Executive MBA,13679.0
2021/2022,Quebec,Executive MBA,13802.0
2022/2023,Quebec,Executive MBA,9314.0
2023/2024,Quebec,Executive MBA,9382.0
2019/2020,Quebec,Regular MBA,5368.0
2020/2021,Quebec,Regular MBA,5195.0
2021/2022,Quebec,Regular MBA,5715.0
2022/2023,Quebec,Regular MBA,4736.0
2023/2024,Quebec,Regular MBA,4829.0
2019/2020,Quebec,Physical and life sciences and technologies,3683.0
2020/2021,Quebec,Physical and life sciences and technologies,3889.0
2021/2022,Quebec,Physical and life sciences and technologies,4026.0
2022/2023,Quebec,Physical and life sciences and technologies,4095.0
2023/2024,Quebec,Physical and life sciences and technologies,4218.0
2019/2020,Quebec,"Mathematics, computer and information sciences",3244.0
2020/2021,Quebec,"Mathematics, computer and information sciences",3353.0
2021/2022,Quebec,"Mathematics, computer and information sciences",3574.0
2022/2023,Quebec,"Mathematics, computer and information sciences",3602.0
2023/2024,Quebec,"Mathematics, computer and information sciences",3710.0
2019/2020,Quebec,Engineering,3231.0
2020/2021,Quebec,Engineering,3366.0
2021/2022,Quebec,Engineering,3529.0
2022/2023,Quebec,Engineering,3638.0
2023/2024,Quebec,Engineering,3747.0
2019/2020,Quebec,Architecture,3188.0
2020/2021,Quebec,Architecture,3220.0
2021/2022,Quebec,Architecture,3375.0
2022/2023,Quebec,Architecture,3424.0
2023/2024,Quebec,Architecture,3527.0
2019/2020,Quebec,"Agriculture, natural resources and conservation",3120.0
2020/2021,Quebec,"Agriculture, natural resources and conservation",3159.0
2021/2022,Quebec,"Agriculture, natural resources and conservation",3321.0
2022/2023,Quebec,"Agriculture, natural resources and conservation",3463.0
2023/2024,Quebec,"Agriculture, natural resources and conservation",3567.0
2019/2020,Quebec,Dentistry,3781.0
2020/2021,Quebec,Dentistry,3958.0
2021/2022,Quebec,Dentistry,3689.0
2022/2023,Quebec,Dentistry,4087.0
2023/2024,Quebec,Dentistry,4209.0
2019/2020,Quebec,Nursing,2986.0
2020/2021,Quebec,Nursing,2921.0
2021/2022,Quebec,Nursing,3037.0
2022/2023,Quebec,Nursing,3077.0
2023/2024,Quebec,Nursing,3169.0
2019/2020,Quebec,Pharmacy,2705.0
2020/2021,Quebec,Pharmacy,2777.0
2021/2022,Quebec,Pharmacy,2813.0
2022/2023,Quebec,Pharmacy,2955.0
2023/2024,Quebec,Pharmacy,3043.0
2019/2020,Quebec,Veterinary medicine,2628.0
2020/2021,Quebec,Veterinary medicine,2623.0
2021/2022,Quebec,Veterinary medicine,2811.0
2022/2023,Quebec,Veterinary medicine,3157.0
2023/2024,Quebec,Veterinary medicine,3251.0
2019/2020,Quebec,"Other health, parks, recreation and fitness",3274.0
2020/2021,Quebec,"Other health, parks, recreation and fitness",3455.0
2021/2022,Quebec,"Other health, parks, recreation and fitness",3660.0
2022/2023,Quebec,"Other health, parks, recreation and fitness",3637.0
2023/2024,Quebec,"Other health, parks, recreation and fitness",3747.0
2019/2020,Ontario,"Total, field of study",9601.0
2020/2021,Ontario,"Total, field of study",9739.0
2021/2022,Ontario,"Total, field of study",9327.0
2022/2023,Ontario,"Total, field of study",9304.0
2023/2024,Ontario,"Total, field of study",9445.0
2019/2020,Ontario,Education,8045.0
2020/2021,Ontario,Education,8020.0
2021/2022,Ontario,Education,8005.0
2022/2023,Ontario,Education,8053.0
2023/2024,Ontario,Education,8108.0
2019/2020,Ontario,"Visual and performing arts, and communications technologies",7118.0
2020/2021,Ontario,"Visual and performing arts, and communications technologies",7442.0
2021/2022,Ontario,"Visual and performing arts, and communications technologies",7565.0
2022/2023,Ontario,"Visual and performing arts, and communications technologies",7571.0
2023/2024,Ontario,"Visual and performing arts, and communications technologies",7642.0
2019/2020,Ontario,Humanities,5711.0
2020/2021,Ontario,Humanities,5703.0
2021/2022,Ontario,Humanities,5719.0
2022/2023,Ontario,Humanities,5724.0
2023/2024,Ontario,Humanities,5779.0
2019/2020,Ontario,"Social and behavioural sciences, and legal studies ",7586.0
2020/2021,Ontario,"Social and behavioural sciences, and legal studies ",7773.0
2021/2022,Ontario,"Social and behavioural sciences, and legal studies ",7785.0
2022/2023,Ontario,"Social and behavioural sciences, and legal studies ",7783.0
2023/2024,Ontario,"Social and behavioural sciences, and legal studies ",7919.0
2019/2020,Ontario,Law,10131.0
2020/2021,Ontario,Law,10087.0
2021/2022,Ontario,Law,10250.0
2022/2023,Ontario,Law,9509.0
2023/2024,Ontario,Law,9563.0
2019/2020,Ontario,"Business, management and public administration",20317.0
2020/2021,Ontario,"Business, management and public administration",20925.0
