REF_DATE,GEO,"Highest certificate, diploma or degree (16)",Labour force status (8),VALUE
2021,Canada,Postsecondary certificate or diploma below bachelor level,Total - Labour force status,9252800.0
2021,Canada,Postsecondary certificate or diploma below bachelor level,In the labour force,6468935.0
2021,Canada,Postsecondary certificate or diploma below bachelor level,Employed,5886085.0
2021,Canada,Postsecondary certificate or diploma below bachelor level,Unemployed,582850.0
2021,Canada,Postsecondary certificate or diploma below bachelor level,Not in the labour force,2783865.0
2021,Canada,Postsecondary certificate or diploma below bachelor level,Participation rate,69.9
2021,Canada,Postsecondary certificate or diploma below bachelor level,Employment rate,63.6
2021,Canada,Postsecondary certificate or diploma below bachelor level,Unemployment rate,9.0
2021,Canada,Apprenticeship or trades certificate or diploma,Total - Labour force status,2641555.0
2021,Canada,Apprenticeship or trades certificate or diploma,In the labour force,1802935.0
2021,Canada,Apprenticeship or trades certificate or diploma,Employed,1639625.0
2021,Canada,Apprenticeship or trades certificate or diploma,Unemployed,163300.0
2021,Canada,Apprenticeship or trades certificate or diploma,Not in the labour force,838625.0
2021,Canada,Apprenticeship or trades certificate or diploma,Participation rate,68.3
2021,Canada,Apprenticeship or trades certificate or diploma,Employment rate,62.1
2021,Canada,Apprenticeship or trades certificate or diploma,Unemployment rate,9.1
2021,Canada,Non-apprenticeship trades certificate or diploma,Total - Labour force status,1458160.0
2021,Canada,Non-apprenticeship trades certificate or diploma,In the labour force,989625.0
2021,Canada,Non-apprenticeship trades certificate or diploma,Employed,900695.0
2021,Canada,Non-apprenticeship trades certificate or diploma,Unemployed,88930.0
2021,Canada,Non-apprenticeship trades certificate or diploma,Not in the labour force,468540.0
2021,Canada,Non-apprenticeship trades certificate or diploma,Participation rate,67.9
2021,Canada,Non-apprenticeship trades certificate or diploma,Employment rate,61.8
2021,Canada,Non-apprenticeship trades certificate or diploma,Unemployment rate,9.0
2021,Canada,Apprenticeship certificate,Total - Labour force status,1183395.0
2021,Canada,Apprenticeship certificate,In the labour force,813305.0
2021,Canada,Apprenticeship certificate,Employed,738935.0
2021,Canada,Apprenticeship certificate,Unemployed,74370.0
2021,Canada,Apprenticeship certificate,Not in the labour force,370090.0
2021,Canada,Apprenticeship certificate,Participation rate,68.7
2021,Canada,Apprenticeship certificate,Employment rate,62.4
2021,Canada,Apprenticeship certificate,Unemployment rate,9.1
2021,Canada,"College, CEGEP or other non-university certificate or diploma",Total - Labour force status,5714485.0
2021,Canada,"College, CEGEP or other non-university certificate or diploma",In the labour force,4063440.0
2021,Canada,"College, CEGEP or other non-university certificate or diploma",Employed,3697455.0
2021,Canada,"College, CEGEP or other non-university certificate or diploma",Unemployed,365990.0
2021,Canada,"College, CEGEP or other non-university certificate or diploma",Not in the labour force,1651045.0
2021,Canada,"College, CEGEP or other non-university certificate or diploma",Participation rate,71.1
2021,Canada,"College, CEGEP or other non-university certificate or diploma",Employment rate,64.7
2021,Canada,"College, CEGEP or other non-university certificate or diploma",Unemployment rate,9.0
2021,Canada,University certificate or diploma below bachelor level,Total - Labour force status,896755.0
2021,Canada,University certificate or diploma below bachelor level,In the labour force,602565.0
2021,Canada,University certificate or diploma below bachelor level,Employed,549005.0
2021,Canada,University certificate or diploma below bachelor level,Unemployed,53560.0
2021,Canada,University certificate or diploma below bachelor level,Not in the labour force,294190.0
2021,Canada,University certificate or diploma below bachelor level,Participation rate,67.2
2021,Canada,University certificate or diploma below bachelor level,Employment rate,61.2
2021,Canada,University certificate or diploma below bachelor level,Unemployment rate,8.9
2021,Canada,Bachelor’s degree or higher,Total - Labour force status,8086245.0
2021,Canada,Bachelor’s degree or higher,In the labour force,6250720.0
2021,Canada,Bachelor’s degree or higher,Employed,5832820.0
2021,Canada,Bachelor’s degree or higher,Unemployed,417890.0
2021,Canada,Bachelor’s degree or higher,Not in the labour force,1835525.0
2021,Canada,Bachelor’s degree or higher,Participation rate,77.3
2021,Canada,Bachelor’s degree or higher,Employment rate,72.1
2021,Canada,Bachelor’s degree or higher,Unemployment rate,6.7
2021,Canada,Bachelor's degree,Total - Labour force status,5295360.0
2021,Canada,Bachelor's degree,In the labour force,4087470.0
2021,Canada,Bachelor's degree,Employed,3792275.0
2021,Canada,Bachelor's degree,Unemployed,295195.0
2021,Canada,Bachelor's degree,Not in the labour force,1207890.0
2021,Canada,Bachelor's degree,Participation rate,77.2
2021,Canada,Bachelor's degree,Employment rate,71.6
2021,Canada,Bachelor's degree,Unemployment rate,7.2
2021,Canada,University certificate or diploma above bachelor level,Total - Labour force status,556515.0
2021,Canada,University certificate or diploma above bachelor level,In the labour force,415795.0
2021,Canada,University certificate or diploma above bachelor level,Employed,390840.0
2021,Canada,University certificate or diploma above bachelor level,Unemployed,24955.0
2021,Canada,University certificate or diploma above bachelor level,Not in the labour force,140720.0
2021,Canada,University certificate or diploma above bachelor level,Participation rate,74.7
2021,Canada,University certificate or diploma above bachelor level,Employment rate,70.2
2021,Canada,University certificate or diploma above bachelor level,Unemployment rate,6.0
2021,Canada,"Degree in medicine, dentistry, veterinary medicine or optometry",Total - Labour force status,214105.0
2021,Canada,"Degree in medicine, dentistry, veterinary medicine or optometry",In the labour force,165335.0
2021,Canada,"Degree in medicine, dentistry, veterinary medicine or optometry",Employed,158490.0
2021,Canada,"Degree in medicine, dentistry, veterinary medicine or optometry",Unemployed,6845.0
2021,Canada,"Degree in medicine, dentistry, veterinary medicine or optometry",Not in the labour force,48770.0
2021,Canada,"Degree in medicine, dentistry, veterinary medicine or optometry",Participation rate,77.2
2021,Canada,"Degree in medicine, dentistry, veterinary medicine or optometry",Employment rate,74.0
2021,Canada,"Degree in medicine, dentistry, veterinary medicine or optometry",Unemployment rate,4.1
2021,Canada,Master's degree,Total - Labour force status,1740605.0
2021,Canada,Master's degree,In the labour force,1368565.0
2021,Canada,Master's degree,Employed,1288085.0
2021,Canada,Master's degree,Unemployed,80480.0
2021,Canada,Master's degree,Not in the labour force,372040.0
2021,Canada,Master's degree,Participation rate,78.6
2021,Canada,Master's degree,Employment rate,74.0
2021,Canada,Master's degree,Unemployment rate,5.9
2021,Canada,Earned doctorate,Total - Labour force status,279660.0
2021,Canada,Earned doctorate,In the labour force,213550.0
2021,Canada,Earned doctorate,Employed,203135.0
2021,Canada,Earned doctorate,Unemployed,10415.0
2021,Canada,Earned doctorate,Not in the labour force,66115.0
2021,Canada,Earned doctorate,Participation rate,76.4
2021,Canada,Earned doctorate,Employment rate,72.6
2021,Canada,Earned doctorate,Unemployment rate,4.9
2021,Newfoundland and Labrador,"Total - Highest certificate, diploma or degree",Total - Labour force status,433960.0
2021,Newfoundland and Labrador,"Total - Highest certificate, diploma or degree",In the labour force,243330.0
2021,Newfoundland and Labrador,"Total - Highest certificate, diploma or degree",Employed,206285.0
2021,Newfoundland and Labrador,"Total - Highest certificate, diploma or degree",Unemployed,37045.0
2021,Newfoundland and Labrador,"Total - Highest certificate, diploma or degree",Not in the labour force,190620.0
2021,Newfoundland and Labrador,"Total - Highest certificate, diploma or degree",Participation rate,56.1
2021,Newfoundland and Labrador,"Total - Highest certificate, diploma or degree",Employment rate,47.5
2021,Newfoundland and Labrador,"Total - Highest certificate, diploma or degree",Unemployment rate,15.2
2021,Newfoundland and Labrador,"No certificate, diploma or degree",Total - Labour force status,88710.0
2021,Newfoundland and Labrador,"No certificate, diploma or degree",In the labour force,24385.0
2021,Newfoundland and Labrador,"No certificate, diploma or degree",Employed,18285.0
2021,Newfoundland and Labrador,"No certificate, diploma or degree",Unemployed,6095.0
2021,Newfoundland and Labrador,"No certificate, diploma or degree",Not in the labour force,64330.0
2021,Newfoundland and Labrador,"No certificate, diploma or degree",Participation rate,27.5
2021,Newfoundland and Labrador,"No certificate, diploma or degree",Employment rate,20.6
2021,Newfoundland and Labrador,"No certificate, diploma or degree",Unemployment rate,25.0
2021,Newfoundland and Labrador,High (secondary) school diploma or equivalency certificate,Total - Labour force status,119855.0
2021,Newfoundland and Labrador,High (secondary) school diploma or equivalency certificate,In the labour force,63460.0
2021,Newfoundland and Labrador,High (secondary) school diploma or equivalency certificate,Employed,50905.0
2021,Newfoundland and Labrador,High (secondary) school diploma or equivalency certificate,Unemployed,12555.0
2021,Newfoundland and Labrador,High (secondary) school diploma or equivalency certificate,Not in the labour force,56395.0
2021,Newfoundland and Labrador,High (secondary) school diploma or equivalency certificate,Participation rate,52.9
2021,Newfoundland and Labrador,High (secondary) school diploma or equivalency certificate,Employment rate,42.5
2021,Newfoundland and Labrador,High (secondary) school diploma or equivalency certificate,Unemployment rate,19.8
2021,Newfoundland and Labrador,"Postsecondary certificate, diploma or degree",Total - Labour force status,225390.0
2021,Newfoundland and Labrador,"Postsecondary certificate, diploma or degree",In the labour force,155485.0
2021,Newfoundland and Labrador,"Postsecondary certificate, diploma or degree",Employed,137090.0
2021,Newfoundland and Labrador,"Postsecondary certificate, diploma or degree",Unemployed,18395.0
2021,Newfoundland and Labrador,"Postsecondary certificate, diploma or degree",Not in the labour force,69905.0
2021,Newfoundland and Labrador,"Postsecondary certificate, diploma or degree",Participation rate,69.0
2021,Newfoundland and Labrador,"Postsecondary certificate, diploma or degree",Employment rate,60.8
2021,Newfoundland and Labrador,"Postsecondary certificate, diploma or degree",Unemployment rate,11.8
2021,Newfoundland and Labrador,Postsecondary certificate or diploma below bachelor level,Total - Labour force status,153200.0
2021,Newfoundland and Labrador,Postsecondary certificate or diploma below bachelor level,In the labour force,101000.0
2021,Newfoundland and Labrador,Postsecondary certificate or diploma below bachelor level,Employed,86075.0
2021,Newfoundland and Labrador,Postsecondary certificate or diploma below bachelor level,Unemployed,14920.0
2021,Newfoundland and Labrador,Postsecondary certificate or diploma below bachelor level,Not in the labour force,52205.0
2021,Newfoundland and Labrador,Postsecondary certificate or diploma below bachelor level,Participation rate,65.9
2021,Newfoundland and Labrador,Postsecondary certificate or diploma below bachelor level,Employment rate,56.2
2021,Newfoundland and Labrador,Postsecondary certificate or diploma below bachelor level,Unemployment rate,14.8
2021,Newfoundland and Labrador,Apprenticeship or trades certificate or diploma,Total - Labour force status,42715.0
2021,Newfoundland and Labrador,Apprenticeship or trades certificate or diploma,In the labour force,27015.0
2021,Newfoundland and Labrador,Apprenticeship or trades certificate or diploma,Employed,21870.0
2021,Newfoundland and Labrador,Apprenticeship or trades certificate or diploma,Unemployed,5140.0
2021,Newfoundland and Labrador,Apprenticeship or trades certificate or diploma,Not in the labour force,15705.0
2021,Newfoundland and Labrador,Apprenticeship or trades certificate or diploma,Participation rate,63.2
2021,Newfoundland and Labrador,Apprenticeship or trades certificate or diploma,Employment rate,51.2
2021,Newfoundland and Labrador,Apprenticeship or trades certificate or diploma,Unemployment rate,19.0
2021,Newfoundland and Labrador,Non-apprenticeship trades certificate or diploma,Total - Labour force status,21280.0
2021,Newfoundland and Labrador,Non-apprenticeship trades certificate or diploma,In the labour force,13000.0
2021,Newfoundland and Labrador,Non-apprenticeship trades certificate or diploma,Employed,10590.0
2021,Newfoundland and Labrador,Non-apprenticeship trades certificate or diploma,Unemployed,2410.0
2021,Newfoundland and Labrador,Non-apprenticeship trades certificate or diploma,Not in the labour force,8285.0
2021,Newfoundland and Labrador,Non-apprenticeship trades certificate or diploma,Participation rate,61.1
2021,Newfoundland and Labrador,Non-apprenticeship trades certificate or diploma,Employment rate,49.8
2021,Newfoundland and Labrador,Non-apprenticeship trades certificate or diploma,Unemployment rate,18.5
2021,Newfoundland and Labrador,Apprenticeship certificate,Total - Labour force status,21440.0
2021,Newfoundland and Labrador,Apprenticeship certificate,In the labour force,14020.0
2021,Newfoundland and Labrador,Apprenticeship certificate,Employed,11280.0
2021,Newfoundland and Labrador,Apprenticeship certificate,Unemployed,2735.0
2021,Newfoundland and Labrador,Apprenticeship certificate,Not in the labour force,7420.0
2021,Newfoundland and Labrador,Apprenticeship certificate,Participation rate,65.4
2021,Newfoundland and Labrador,Apprenticeship certificate,Employment rate,52.6
2021,Newfoundland and Labrador,Apprenticeship certificate,Unemployment rate,19.5
2021,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma",Total - Labour force status,101675.0
2021,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma",In the labour force,68675.0
2021,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma",Employed,59445.0
2021,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma",Unemployed,9230.0
2021,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma",Not in the labour force,33000.0
2021,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma",Participation rate,67.5
2021,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma",Employment rate,58.5
2021,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma",Unemployment rate,13.4
2021,Newfoundland and Labrador,University certificate or diploma below bachelor level,Total - Labour force status,8810.0
2021,Newfoundland and Labrador,University certificate or diploma below bachelor level,In the labour force,5310.0
2021,Newfoundland and Labrador,University certificate or diploma below bachelor level,Employed,4760.0
2021,Newfoundland and Labrador,University certificate or diploma below bachelor level,Unemployed,550.0
2021,Newfoundland and Labrador,University certificate or diploma below bachelor level,Not in the labour force,3505.0
2021,Newfoundland and Labrador,University certificate or diploma below bachelor level,Participation rate,60.3
2021,Newfoundland and Labrador,University certificate or diploma below bachelor level,Employment rate,54.0
2021,Newfoundland and Labrador,University certificate or diploma below bachelor level,Unemployment rate,10.4
2021,Newfoundland and Labrador,Bachelor’s degree or higher,Total - Labour force status,72190.0
2021,Newfoundland and Labrador,Bachelor’s degree or higher,In the labour force,54485.0
2021,Newfoundland and Labrador,Bachelor’s degree or higher,Employed,51015.0
2021,Newfoundland and Labrador,Bachelor’s degree or higher,Unemployed,3470.0
2021,Newfoundland and Labrador,Bachelor’s degree or higher,Not in the labour force,17695.0
2021,Newfoundland and Labrador,Bachelor’s degree or higher,Participation rate,75.5
2021,Newfoundland and Labrador,Bachelor’s degree or higher,Employment rate,70.7
2021,Newfoundland and Labrador,Bachelor’s degree or higher,Unemployment rate,6.4
2021,Newfoundland and Labrador,Bachelor's degree,Total - Labour force status,47145.0
2021,Newfoundland and Labrador,Bachelor's degree,In the labour force,35700.0
2021,Newfoundland and Labrador,Bachelor's degree,Employed,33065.0
2021,Newfoundland and Labrador,Bachelor's degree,Unemployed,2630.0
2021,Newfoundland and Labrador,Bachelor's degree,Not in the labour force,11445.0
2021,Newfoundland and Labrador,Bachelor's degree,Participation rate,75.7
2021,Newfoundland and Labrador,Bachelor's degree,Employment rate,70.1
2021,Newfoundland and Labrador,Bachelor's degree,Unemployment rate,7.4
2021,Newfoundland and Labrador,University certificate or diploma above bachelor level,Total - Labour force status,3245.0
2021,Newfoundland and Labrador,University certificate or diploma above bachelor level,In the labour force,2370.0
2021,Newfoundland and Labrador,University certificate or diploma above bachelor level,Employed,2225.0
2021,Newfoundland and Labrador,University certificate or diploma above bachelor level,Unemployed,145.0
2021,Newfoundland and Labrador,University certificate or diploma above bachelor level,Not in the labour force,875.0
2021,Newfoundland and Labrador,University certificate or diploma above bachelor level,Participation rate,73.0
2021,Newfoundland and Labrador,University certificate or diploma above bachelor level,Employment rate,68.6
2021,Newfoundland and Labrador,University certificate or diploma above bachelor level,Unemployment rate,6.1
2021,Newfoundland and Labrador,"Degree in medicine, dentistry, veterinary medicine or optometry",Total - Labour force status,2035.0
2021,Newfoundland and Labrador,"Degree in medicine, dentistry, veterinary medicine or optometry",In the labour force,1710.0
2021,Newfoundland and Labrador,"Degree in medicine, dentistry, veterinary medicine or optometry",Employed,1645.0
2021,Newfoundland and Labrador,"Degree in medicine, dentistry, veterinary medicine or optometry",Unemployed,65.0
2021,Newfoundland and Labrador,"Degree in medicine, dentistry, veterinary medicine or optometry",Not in the labour force,325.0
2021,Newfoundland and Labrador,"Degree in medicine, dentistry, veterinary medicine or optometry",Participation rate,84.0
2021,Newfoundland and Labrador,"Degree in medicine, dentistry, veterinary medicine or optometry",Employment rate,80.8
2021,Newfoundland and Labrador,"Degree in medicine, dentistry, veterinary medicine or optometry",Unemployment rate,3.8
2021,Newfoundland and Labrador,Master's degree,Total - Labour force status,17150.0
2021,Newfoundland and Labrador,Master's degree,In the labour force,12745.0
2021,Newfoundland and Labrador,Master's degree,Employed,12190.0
2021,Newfoundland and Labrador,Master's degree,Unemployed,555.0
2021,Newfoundland and Labrador,Master's degree,Not in the labour force,4410.0
2021,Newfoundland and Labrador,Master's degree,Participation rate,74.3
2021,Newfoundland and Labrador,Master's degree,Employment rate,71.1
2021,Newfoundland and Labrador,Master's degree,Unemployment rate,4.4
2021,Newfoundland and Labrador,Earned doctorate,Total - Labour force status,2610.0
2021,Newfoundland and Labrador,Earned doctorate,In the labour force,1970.0
2021,Newfoundland and Labrador,Earned doctorate,Employed,1890.0
2021,Newfoundland and Labrador,Earned doctorate,Unemployed,80.0
2021,Newfoundland and Labrador,Earned doctorate,Not in the labour force,645.0
2021,Newfoundland and Labrador,Earned doctorate,Participation rate,75.5
2021,Newfoundland and Labrador,Earned doctorate,Employment rate,72.4
2021,Newfoundland and Labrador,Earned doctorate,Unemployment rate,4.1
2021,Prince Edward Island,"Total - Highest certificate, diploma or degree",Total - Labour force status,126895.0
2021,Prince Edward Island,"Total - Highest certificate, diploma or degree",In the labour force,83500.0
2021,Prince Edward Island,"Total - Highest certificate, diploma or degree",Employed,74870.0
2021,Prince Edward Island,"Total - Highest certificate, diploma or degree",Unemployed,8625.0
2021,Prince Edward Island,"Total - Highest certificate, diploma or degree",Not in the labour force,43400.0
2021,Prince Edward Island,"Total - Highest certificate, diploma or degree",Participation rate,65.8
2021,Prince Edward Island,"Total - Highest certificate, diploma or degree",Employment rate,59.0
2021,Prince Edward Island,"Total - Highest certificate, diploma or degree",Unemployment rate,10.3
2021,Prince Edward Island,"No certificate, diploma or degree",Total - Labour force status,20385.0
2021,Prince Edward Island,"No certificate, diploma or degree",In the labour force,8210.0
2021,Prince Edward Island,"No certificate, diploma or degree",Employed,6800.0
2021,Prince Edward Island,"No certificate, diploma or degree",Unemployed,1410.0
2021,Prince Edward Island,"No certificate, diploma or degree",Not in the labour force,12180.0
2021,Prince Edward Island,"No certificate, diploma or degree",Participation rate,40.3
2021,Prince Edward Island,"No certificate, diploma or degree",Employment rate,33.4
2021,Prince Edward Island,"No certificate, diploma or degree",Unemployment rate,17.2
2021,Prince Edward Island,High (secondary) school diploma or equivalency certificate,Total - Labour force status,35980.0
2021,Prince Edward Island,High (secondary) school diploma or equivalency certificate,In the labour force,23790.0
2021,Prince Edward Island,High (secondary) school diploma or equivalency certificate,Employed,20230.0
2021,Prince Edward Island,High (secondary) school diploma or equivalency certificate,Unemployed,3565.0
2021,Prince Edward Island,High (secondary) school diploma or equivalency certificate,Not in the labour force,12190.0
2021,Prince Edward Island,High (secondary) school diploma or equivalency certificate,Participation rate,66.1
2021,Prince Edward Island,High (secondary) school diploma or equivalency certificate,Employment rate,56.2
2021,Prince Edward Island,High (secondary) school diploma or equivalency certificate,Unemployment rate,15.0
2021,Prince Edward Island,"Postsecondary certificate, diploma or degree",Total - Labour force status,70530.0
2021,Prince Edward Island,"Postsecondary certificate, diploma or degree",In the labour force,51500.0
2021,Prince Edward Island,"Postsecondary certificate, diploma or degree",Employed,47850.0
2021,Prince Edward Island,"Postsecondary certificate, diploma or degree",Unemployed,3655.0
2021,Prince Edward Island,"Postsecondary certificate, diploma or degree",Not in the labour force,19030.0
2021,Prince Edward Island,"Postsecondary certificate, diploma or degree",Participation rate,73.0
2021,Prince Edward Island,"Postsecondary certificate, diploma or degree",Employment rate,67.8
2021,Prince Edward Island,"Postsecondary certificate, diploma or degree",Unemployment rate,7.1
2021,Prince Edward Island,Postsecondary certificate or diploma below bachelor level,Total - Labour force status,42635.0
2021,Prince Edward Island,Postsecondary certificate or diploma below bachelor level,In the labour force,30245.0
2021,Prince Edward Island,Postsecondary certificate or diploma below bachelor level,Employed,27775.0
2021,Prince Edward Island,Postsecondary certificate or diploma below bachelor level,Unemployed,2470.0
2021,Prince Edward Island,Postsecondary certificate or diploma below bachelor level,Not in the labour force,12390.0
2021,Prince Edward Island,Postsecondary certificate or diploma below bachelor level,Participation rate,70.9
2021,Prince Edward Island,Postsecondary certificate or diploma below bachelor level,Employment rate,65.1
2021,Prince Edward Island,Postsecondary certificate or diploma below bachelor level,Unemployment rate,8.2
2021,Prince Edward Island,Apprenticeship or trades certificate or diploma,Total - Labour force status,8245.0
2021,Prince Edward Island,Apprenticeship or trades certificate or diploma,In the labour force,5490.0
2021,Prince Edward Island,Apprenticeship or trades certificate or diploma,Employed,4940.0
2021,Prince Edward Island,Apprenticeship or trades certificate or diploma,Unemployed,550.0
2021,Prince Edward Island,Apprenticeship or trades certificate or diploma,Not in the labour force,2760.0
2021,Prince Edward Island,Apprenticeship or trades certificate or diploma,Participation rate,66.6
2021,Prince Edward Island,Apprenticeship or trades certificate or diploma,Employment rate,59.9
2021,Prince Edward Island,Apprenticeship or trades certificate or diploma,Unemployment rate,10.0
2021,Prince Edward Island,Non-apprenticeship trades certificate or diploma,Total - Labour force status,4255.0
2021,Prince Edward Island,Non-apprenticeship trades certificate or diploma,In the labour force,2605.0
2021,Prince Edward Island,Non-apprenticeship trades certificate or diploma,Employed,2315.0
2021,Prince Edward Island,Non-apprenticeship trades certificate or diploma,Unemployed,290.0
2021,Prince Edward Island,Non-apprenticeship trades certificate or diploma,Not in the labour force,1650.0
2021,Prince Edward Island,Non-apprenticeship trades certificate or diploma,Participation rate,61.2
2021,Prince Edward Island,Non-apprenticeship trades certificate or diploma,Employment rate,54.4
2021,Prince Edward Island,Non-apprenticeship trades certificate or diploma,Unemployment rate,11.1
2021,Prince Edward Island,Apprenticeship certificate,Total - Labour force status,3995.0
2021,Prince Edward Island,Apprenticeship certificate,In the labour force,2885.0
2021,Prince Edward Island,Apprenticeship certificate,Employed,2625.0
2021,Prince Edward Island,Apprenticeship certificate,Unemployed,255.0
2021,Prince Edward Island,Apprenticeship certificate,Not in the labour force,1115.0
2021,Prince Edward Island,Apprenticeship certificate,Participation rate,72.2
2021,Prince Edward Island,Apprenticeship certificate,Employment rate,65.7
2021,Prince Edward Island,Apprenticeship certificate,Unemployment rate,8.8
2021,Prince Edward Island,"College, CEGEP or other non-university certificate or diploma",Total - Labour force status,31135.0
2021,Prince Edward Island,"College, CEGEP or other non-university certificate or diploma",In the labour force,22790.0
2021,Prince Edward Island,"College, CEGEP or other non-university certificate or diploma",Employed,21050.0
2021,Prince Edward Island,"College, CEGEP or other non-university certificate or diploma",Unemployed,1740.0
2021,Prince Edward Island,"College, CEGEP or other non-university certificate or diploma",Not in the labour force,8345.0
2021,Prince Edward Island,"College, CEGEP or other non-university certificate or diploma",Participation rate,73.2
2021,Prince Edward Island,"College, CEGEP or other non-university certificate or diploma",Employment rate,67.6
2021,Prince Edward Island,"College, CEGEP or other non-university certificate or diploma",Unemployment rate,7.6
2021,Prince Edward Island,University certificate or diploma below bachelor level,Total - Labour force status,3260.0
2021,Prince Edward Island,University certificate or diploma below bachelor level,In the labour force,1970.0
2021,Prince Edward Island,University certificate or diploma below bachelor level,Employed,1785.0
2021,Prince Edward Island,University certificate or diploma below bachelor level,Unemployed,185.0
2021,Prince Edward Island,University certificate or diploma below bachelor level,Not in the labour force,1290.0
2021,Prince Edward Island,University certificate or diploma below bachelor level,Participation rate,60.4
2021,Prince Edward Island,University certificate or diploma below bachelor level,Employment rate,54.8
2021,Prince Edward Island,University certificate or diploma below bachelor level,Unemployment rate,9.4
2021,Prince Edward Island,Bachelor’s degree or higher,Total - Labour force status,27895.0
2021,Prince Edward Island,Bachelor’s degree or higher,In the labour force,21250.0
2021,Prince Edward Island,Bachelor’s degree or higher,Employed,20070.0
2021,Prince Edward Island,Bachelor’s degree or higher,Unemployed,1185.0
2021,Prince Edward Island,Bachelor’s degree or higher,Not in the labour force,6635.0
2021,Prince Edward Island,Bachelor’s degree or higher,Participation rate,76.2
2021,Prince Edward Island,Bachelor’s degree or higher,Employment rate,71.9
2021,Prince Edward Island,Bachelor’s degree or higher,Unemployment rate,5.6
2021,Prince Edward Island,Bachelor's degree,Total - Labour force status,18955.0
2021,Prince Edward Island,Bachelor's degree,In the labour force,14495.0
2021,Prince Edward Island,Bachelor's degree,Employed,13605.0
2021,Prince Edward Island,Bachelor's degree,Unemployed,895.0
2021,Prince Edward Island,Bachelor's degree,Not in the labour force,4455.0
2021,Prince Edward Island,Bachelor's degree,Participation rate,76.5
2021,Prince Edward Island,Bachelor's degree,Employment rate,71.8
2021,Prince Edward Island,Bachelor's degree,Unemployment rate,6.2
2021,Prince Edward Island,University certificate or diploma above bachelor level,Total - Labour force status,1510.0
2021,Prince Edward Island,University certificate or diploma above bachelor level,In the labour force,1090.0
2021,Prince Edward Island,University certificate or diploma above bachelor level,Employed,1040.0
2021,Prince Edward Island,University certificate or diploma above bachelor level,Unemployed,50.0
2021,Prince Edward Island,University certificate or diploma above bachelor level,Not in the labour force,425.0
2021,Prince Edward Island,University certificate or diploma above bachelor level,Participation rate,72.2
2021,Prince Edward Island,University certificate or diploma above bachelor level,Employment rate,68.9
2021,Prince Edward Island,University certificate or diploma above bachelor level,Unemployment rate,4.6
2021,Prince Edward Island,"Degree in medicine, dentistry, veterinary medicine or optometry",Total - Labour force status,700.0
2021,Prince Edward Island,"Degree in medicine, dentistry, veterinary medicine or optometry",In the labour force,520.0
