REF_DATE,GEO,Educational qualification,Field of study,Characteristics after graduation,VALUE
2011,Canada,"Career, technical or professional training diploma",Other instructional programs [12],Graduates reporting employment income,69000.0
2011,Canada,Undergraduate degree,"Total, field of study",Graduates reporting employment income,51900.0
2011,Canada,Undergraduate degree,"Total, field of study",Graduates reporting employment income,61900.0
2011,Canada,Undergraduate degree,"Total, field of study",Graduates reporting employment income,75100.0
2011,Canada,Undergraduate degree,Education [1],Graduates reporting employment income,47300.0
2011,Canada,Undergraduate degree,Education [1],Graduates reporting employment income,56300.0
2011,Canada,Undergraduate degree,Education [1],Graduates reporting employment income,71800.0
2011,Canada,Undergraduate degree,"Visual and performing arts, and communications technologies [2]",Graduates reporting employment income,30700.0
2011,Canada,Undergraduate degree,"Visual and performing arts, and communications technologies [2]",Graduates reporting employment income,38100.0
2011,Canada,Undergraduate degree,"Visual and performing arts, and communications technologies [2]",Graduates reporting employment income,45800.0
2011,Canada,Undergraduate degree,Humanities [3],Graduates reporting employment income,38200.0
2011,Canada,Undergraduate degree,Humanities [3],Graduates reporting employment income,48400.0
2011,Canada,Undergraduate degree,Humanities [3],Graduates reporting employment income,56700.0
2011,Canada,Undergraduate degree,Social and behavioural sciences and law [4],Graduates reporting employment income,42300.0
2011,Canada,Undergraduate degree,Social and behavioural sciences and law [4],Graduates reporting employment income,52400.0
2011,Canada,Undergraduate degree,Social and behavioural sciences and law [4],Graduates reporting employment income,63000.0
2011,Canada,Undergraduate degree,"Business, management and public administration [5]",Graduates reporting employment income,53000.0
2011,Canada,Undergraduate degree,"Business, management and public administration [5]",Graduates reporting employment income,65200.0
2011,Canada,Undergraduate degree,"Business, management and public administration [5]",Graduates reporting employment income,80000.0
2011,Canada,Undergraduate degree,Physical and life sciences and technologies [6],Graduates reporting employment income,46800.0
2011,Canada,Undergraduate degree,Physical and life sciences and technologies [6],Graduates reporting employment income,56200.0
2011,Canada,Undergraduate degree,Physical and life sciences and technologies [6],Graduates reporting employment income,70100.0
2011,Canada,Undergraduate degree,"Mathematics, computer and information sciences [7]",Graduates reporting employment income,61100.0
2011,Canada,Undergraduate degree,"Mathematics, computer and information sciences [7]",Graduates reporting employment income,76100.0
2011,Canada,Undergraduate degree,"Mathematics, computer and information sciences [7]",Graduates reporting employment income,96000.0
2011,Canada,Undergraduate degree,"Architecture, engineering, and related technologies [8]",Graduates reporting employment income,71100.0
2011,Canada,Undergraduate degree,"Architecture, engineering, and related technologies [8]",Graduates reporting employment income,82800.0
2011,Canada,Undergraduate degree,"Architecture, engineering, and related technologies [8]",Graduates reporting employment income,100700.0
2011,Canada,Undergraduate degree,"Agriculture, natural resources and conservation [9]",Graduates reporting employment income,53500.0
2011,Canada,Undergraduate degree,"Agriculture, natural resources and conservation [9]",Graduates reporting employment income,61500.0
2011,Canada,Undergraduate degree,"Agriculture, natural resources and conservation [9]",Graduates reporting employment income,70700.0
2011,Canada,Undergraduate degree,Health and related fields [10],Graduates reporting employment income,73000.0
2011,Canada,Undergraduate degree,Health and related fields [10],Graduates reporting employment income,76800.0
2011,Canada,Undergraduate degree,Health and related fields [10],Graduates reporting employment income,82200.0
2011,Canada,Undergraduate degree,"Personal, protective and transportation services [11]",Graduates reporting employment income,51000.0
2011,Canada,Undergraduate degree,"Personal, protective and transportation services [11]",Graduates reporting employment income,65600.0
2011,Canada,Undergraduate degree,"Personal, protective and transportation services [11]",Graduates reporting employment income,79300.0
2011,Canada,Undergraduate degree,Other instructional programs [12],Graduates reporting employment income,51000.0
2011,Canada,Undergraduate degree,Other instructional programs [12],Graduates reporting employment income,57200.0
2011,Canada,Undergraduate degree,Other instructional programs [12],Graduates reporting employment income,67900.0
2011,Canada,Professional degree,"Total, field of study",Graduates reporting employment income,89100.0
2011,Canada,Professional degree,"Total, field of study",Graduates reporting employment income,102600.0
2011,Canada,Professional degree,"Total, field of study",Graduates reporting employment income,116800.0
2011,Canada,Professional degree,Social and behavioural sciences and law [4],Graduates reporting employment income,82000.0
2011,Canada,Professional degree,Social and behavioural sciences and law [4],Graduates reporting employment income,105000.0
2011,Canada,Professional degree,Social and behavioural sciences and law [4],Graduates reporting employment income,127900.0
2011,Canada,Professional degree,Health and related fields [10],Graduates reporting employment income,97700.0
2011,Canada,Professional degree,Health and related fields [10],Graduates reporting employment income,101400.0
2011,Canada,Professional degree,Health and related fields [10],Graduates reporting employment income,108600.0
2011,Canada,Master's degree,"Total, field of study",Graduates reporting employment income,74400.0
2011,Canada,Master's degree,"Total, field of study",Graduates reporting employment income,82700.0
2011,Canada,Master's degree,"Total, field of study",Graduates reporting employment income,92800.0
2011,Canada,Master's degree,Education [1],Graduates reporting employment income,89800.0
2011,Canada,Master's degree,Education [1],Graduates reporting employment income,91700.0
2011,Canada,Master's degree,Education [1],Graduates reporting employment income,94400.0
2011,Canada,Master's degree,"Visual and performing arts, and communications technologies [2]",Graduates reporting employment income,33900.0
2011,Canada,Master's degree,"Visual and performing arts, and communications technologies [2]",Graduates reporting employment income,41800.0
2011,Canada,Master's degree,"Visual and performing arts, and communications technologies [2]",Graduates reporting employment income,48500.0
2011,Canada,Master's degree,Humanities [3],Graduates reporting employment income,45400.0
2011,Canada,Master's degree,Humanities [3],Graduates reporting employment income,51800.0
2011,Canada,Master's degree,Humanities [3],Graduates reporting employment income,63100.0
2011,Canada,Master's degree,Social and behavioural sciences and law [4],Graduates reporting employment income,62900.0
2011,Canada,Master's degree,Social and behavioural sciences and law [4],Graduates reporting employment income,72000.0
2011,Canada,Master's degree,Social and behavioural sciences and law [4],Graduates reporting employment income,85300.0
2011,Canada,Master's degree,"Business, management and public administration [5]",Graduates reporting employment income,85100.0
2011,Canada,Master's degree,"Business, management and public administration [5]",Graduates reporting employment income,95800.0
2011,Canada,Master's degree,"Business, management and public administration [5]",Graduates reporting employment income,108100.0
2011,Canada,Master's degree,Physical and life sciences and technologies [6],Graduates reporting employment income,58900.0
2011,Canada,Master's degree,Physical and life sciences and technologies [6],Graduates reporting employment income,67300.0
2011,Canada,Master's degree,Physical and life sciences and technologies [6],Graduates reporting employment income,84300.0
2011,Canada,Master's degree,"Mathematics, computer and information sciences [7]",Graduates reporting employment income,62700.0
2011,Canada,Master's degree,"Mathematics, computer and information sciences [7]",Graduates reporting employment income,73300.0
2011,Canada,Master's degree,"Mathematics, computer and information sciences [7]",Graduates reporting employment income,85300.0
2011,Canada,Master's degree,"Architecture, engineering, and related technologies [8]",Graduates reporting employment income,71300.0
2011,Canada,Master's degree,"Architecture, engineering, and related technologies [8]",Graduates reporting employment income,82000.0
2011,Canada,Master's degree,"Architecture, engineering, and related technologies [8]",Graduates reporting employment income,99700.0
2011,Canada,Master's degree,"Agriculture, natural resources and conservation [9]",Graduates reporting employment income,60300.0
2011,Canada,Master's degree,"Agriculture, natural resources and conservation [9]",Graduates reporting employment income,68600.0
2011,Canada,Master's degree,"Agriculture, natural resources and conservation [9]",Graduates reporting employment income,83900.0
2011,Canada,Master's degree,Health and related fields [10],Graduates reporting employment income,76100.0
2011,Canada,Master's degree,Health and related fields [10],Graduates reporting employment income,79500.0
2011,Canada,Master's degree,Health and related fields [10],Graduates reporting employment income,85800.0
2011,Canada,Master's degree,"Personal, protective and transportation services [11]",Graduates reporting employment income,90400.0
2011,Canada,Master's degree,"Personal, protective and transportation services [11]",Graduates reporting employment income,100300.0
2011,Canada,Master's degree,"Personal, protective and transportation services [11]",Graduates reporting employment income,99900.0
2011,Canada,Master's degree,Other instructional programs [12],Graduates reporting employment income,68100.0
2011,Canada,Master's degree,Other instructional programs [12],Graduates reporting employment income,79100.0
2011,Canada,Master's degree,Other instructional programs [12],Graduates reporting employment income,89100.0
2011,Canada,Doctoral degree,"Total, field of study",Graduates reporting employment income,70500.0
2011,Canada,Doctoral degree,"Total, field of study",Graduates reporting employment income,87000.0
2011,Canada,Doctoral degree,"Total, field of study",Graduates reporting employment income,105200.0
2011,Canada,Doctoral degree,Education [1],Graduates reporting employment income,94000.0
2011,Canada,Doctoral degree,Education [1],Graduates reporting employment income,101500.0
2011,Canada,Doctoral degree,Education [1],Graduates reporting employment income,99500.0
2011,Canada,Doctoral degree,"Visual and performing arts, and communications technologies [2]",Graduates reporting employment income,29500.0
2011,Canada,Doctoral degree,"Visual and performing arts, and communications technologies [2]",Graduates reporting employment income,53200.0
2011,Canada,Doctoral degree,"Visual and performing arts, and communications technologies [2]",Graduates reporting employment income,68400.0
2011,Canada,Doctoral degree,Humanities [3],Graduates reporting employment income,54000.0
2011,Canada,Doctoral degree,Humanities [3],Graduates reporting employment income,74000.0
2011,Canada,Doctoral degree,Humanities [3],Graduates reporting employment income,89800.0
2011,Canada,Doctoral degree,Social and behavioural sciences and law [4],Graduates reporting employment income,76500.0
2011,Canada,Doctoral degree,Social and behavioural sciences and law [4],Graduates reporting employment income,86900.0
2011,Canada,Doctoral degree,Social and behavioural sciences and law [4],Graduates reporting employment income,101800.0
2011,Canada,Doctoral degree,"Business, management and public administration [5]",Graduates reporting employment income,114500.0
2011,Canada,Doctoral degree,"Business, management and public administration [5]",Graduates reporting employment income,127900.0
2011,Canada,Doctoral degree,"Business, management and public administration [5]",Graduates reporting employment income,132300.0
2011,Canada,Doctoral degree,Physical and life sciences and technologies [6],Graduates reporting employment income,47600.0
2011,Canada,Doctoral degree,Physical and life sciences and technologies [6],Graduates reporting employment income,71600.0
2011,Canada,Doctoral degree,Physical and life sciences and technologies [6],Graduates reporting employment income,98700.0
2011,Canada,Doctoral degree,"Mathematics, computer and information sciences [7]",Graduates reporting employment income,80300.0
2011,Canada,Doctoral degree,"Mathematics, computer and information sciences [7]",Graduates reporting employment income,102600.0
2011,Canada,Doctoral degree,"Mathematics, computer and information sciences [7]",Graduates reporting employment income,120500.0
2011,Canada,Doctoral degree,"Architecture, engineering, and related technologies [8]",Graduates reporting employment income,86300.0
2011,Canada,Doctoral degree,"Architecture, engineering, and related technologies [8]",Graduates reporting employment income,96600.0
2011,Canada,Doctoral degree,"Architecture, engineering, and related technologies [8]",Graduates reporting employment income,122500.0
2011,Canada,Doctoral degree,"Agriculture, natural resources and conservation [9]",Graduates reporting employment income,61900.0
2011,Canada,Doctoral degree,"Agriculture, natural resources and conservation [9]",Graduates reporting employment income,74800.0
2011,Canada,Doctoral degree,"Agriculture, natural resources and conservation [9]",Graduates reporting employment income,96000.0
2011,Canada,Doctoral degree,Health and related fields [10],Graduates reporting employment income,78100.0
2011,Canada,Doctoral degree,Health and related fields [10],Graduates reporting employment income,101200.0
2011,Canada,Doctoral degree,Health and related fields [10],Graduates reporting employment income,115700.0
2011,Canada,Doctoral degree,Other instructional programs [12],Graduates reporting employment income,99100.0
2011,Canada,Doctoral degree,Other instructional programs [12],Graduates reporting employment income,112700.0
2011,Canada,Doctoral degree,Other instructional programs [12],Graduates reporting employment income,126800.0
2011,Newfoundland and Labrador,"Career, technical or professional training diploma","Total, field of study",Graduates reporting employment income,52600.0
2011,Newfoundland and Labrador,"Career, technical or professional training diploma","Total, field of study",Graduates reporting employment income,54000.0
2011,Newfoundland and Labrador,"Career, technical or professional training diploma","Total, field of study",Graduates reporting employment income,54700.0
2011,Newfoundland and Labrador,"Career, technical or professional training diploma","Visual and performing arts, and communications technologies [2]",Graduates reporting employment income,28500.0
2011,Newfoundland and Labrador,"Career, technical or professional training diploma","Visual and performing arts, and communications technologies [2]",Graduates reporting employment income,29300.0
2011,Newfoundland and Labrador,"Career, technical or professional training diploma","Visual and performing arts, and communications technologies [2]",Graduates reporting employment income,30000.0
2011,Newfoundland and Labrador,"Career, technical or professional training diploma","Business, management and public administration [5]",Graduates reporting employment income,39100.0
2011,Newfoundland and Labrador,"Career, technical or professional training diploma","Business, management and public administration [5]",Graduates reporting employment income,38600.0
2011,Newfoundland and Labrador,"Career, technical or professional training diploma","Business, management and public administration [5]",Graduates reporting employment income,43000.0
2011,Newfoundland and Labrador,"Career, technical or professional training diploma","Mathematics, computer and information sciences [7]",Graduates reporting employment income,41100.0
2011,Newfoundland and Labrador,"Career, technical or professional training diploma","Mathematics, computer and information sciences [7]",Graduates reporting employment income,52500.0
2011,Newfoundland and Labrador,"Career, technical or professional training diploma","Mathematics, computer and information sciences [7]",Graduates reporting employment income,50100.0
2011,Newfoundland and Labrador,"Career, technical or professional training diploma","Architecture, engineering, and related technologies [8]",Graduates reporting employment income,84200.0
2011,Newfoundland and Labrador,"Career, technical or professional training diploma","Architecture, engineering, and related technologies [8]",Graduates reporting employment income,86900.0
2011,Newfoundland and Labrador,"Career, technical or professional training diploma","Architecture, engineering, and related technologies [8]",Graduates reporting employment income,91000.0
2011,Newfoundland and Labrador,"Career, technical or professional training diploma",Health and related fields [10],Graduates reporting employment income,52100.0
2011,Newfoundland and Labrador,"Career, technical or professional training diploma",Health and related fields [10],Graduates reporting employment income,53000.0
2011,Newfoundland and Labrador,"Career, technical or professional training diploma",Health and related fields [10],Graduates reporting employment income,51000.0
2011,Newfoundland and Labrador,Undergraduate degree,"Total, field of study",Graduates reporting employment income,63700.0
2011,Newfoundland and Labrador,Undergraduate degree,"Total, field of study",Graduates reporting employment income,70900.0
2011,Newfoundland and Labrador,Undergraduate degree,"Total, field of study",Graduates reporting employment income,81600.0
2011,Newfoundland and Labrador,Undergraduate degree,Education [1],Graduates reporting employment income,50400.0
2011,Newfoundland and Labrador,Undergraduate degree,Education [1],Graduates reporting employment income,59700.0
2011,Newfoundland and Labrador,Undergraduate degree,Education [1],Graduates reporting employment income,75300.0
2011,Newfoundland and Labrador,Undergraduate degree,Humanities [3],Graduates reporting employment income,35000.0
2011,Newfoundland and Labrador,Undergraduate degree,Humanities [3],Graduates reporting employment income,45600.0
2011,Newfoundland and Labrador,Undergraduate degree,Humanities [3],Graduates reporting employment income,55300.0
2011,Newfoundland and Labrador,Undergraduate degree,Social and behavioural sciences and law [4],Graduates reporting employment income,45300.0
2011,Newfoundland and Labrador,Undergraduate degree,Social and behavioural sciences and law [4],Graduates reporting employment income,54100.0
2011,Newfoundland and Labrador,Undergraduate degree,Social and behavioural sciences and law [4],Graduates reporting employment income,65200.0
2011,Newfoundland and Labrador,Undergraduate degree,"Business, management and public administration [5]",Graduates reporting employment income,55800.0
2011,Newfoundland and Labrador,Undergraduate degree,"Business, management and public administration [5]",Graduates reporting employment income,69300.0
2011,Newfoundland and Labrador,Undergraduate degree,"Business, management and public administration [5]",Graduates reporting employment income,78600.0
2011,Newfoundland and Labrador,Undergraduate degree,Physical and life sciences and technologies [6],Graduates reporting employment income,55900.0
2011,Newfoundland and Labrador,Undergraduate degree,Physical and life sciences and technologies [6],Graduates reporting employment income,56300.0
2011,Newfoundland and Labrador,Undergraduate degree,Physical and life sciences and technologies [6],Graduates reporting employment income,61900.0
2011,Newfoundland and Labrador,Undergraduate degree,"Architecture, engineering, and related technologies [8]",Graduates reporting employment income,94600.0
2011,Newfoundland and Labrador,Undergraduate degree,"Architecture, engineering, and related technologies [8]",Graduates reporting employment income,97900.0
2011,Newfoundland and Labrador,Undergraduate degree,"Architecture, engineering, and related technologies [8]",Graduates reporting employment income,110500.0
2011,Newfoundland and Labrador,Undergraduate degree,Health and related fields [10],Graduates reporting employment income,80900.0
2011,Newfoundland and Labrador,Undergraduate degree,Health and related fields [10],Graduates reporting employment income,85900.0
2011,Newfoundland and Labrador,Undergraduate degree,Health and related fields [10],Graduates reporting employment income,89200.0
2011,Newfoundland and Labrador,Professional degree,"Total, field of study",Graduates reporting employment income,108100.0
2011,Newfoundland and Labrador,Professional degree,"Total, field of study",Graduates reporting employment income,103500.0
2011,Newfoundland and Labrador,Professional degree,"Total, field of study",Graduates reporting employment income,106900.0
2011,Newfoundland and Labrador,Professional degree,Health and related fields [10],Graduates reporting employment income,108100.0
2011,Newfoundland and Labrador,Professional degree,Health and related fields [10],Graduates reporting employment income,103500.0
2011,Newfoundland and Labrador,Professional degree,Health and related fields [10],Graduates reporting employment income,106900.0
2011,Newfoundland and Labrador,Master's degree,"Total, field of study",Graduates reporting employment income,93700.0
2011,Newfoundland and Labrador,Master's degree,"Total, field of study",Graduates reporting employment income,99300.0
2011,Newfoundland and Labrador,Master's degree,"Total, field of study",Graduates reporting employment income,95300.0
2011,Newfoundland and Labrador,Master's degree,Education [1],Graduates reporting employment income,97000.0
2011,Newfoundland and Labrador,Master's degree,Education [1],Graduates reporting employment income,101900.0
2011,Newfoundland and Labrador,Master's degree,Education [1],Graduates reporting employment income,95300.0
2011,Newfoundland and Labrador,Master's degree,Social and behavioural sciences and law [4],Graduates reporting employment income,62800.0
2011,Newfoundland and Labrador,Master's degree,Social and behavioural sciences and law [4],Graduates reporting employment income,67900.0
2011,Newfoundland and Labrador,Master's degree,Social and behavioural sciences and law [4],Graduates reporting employment income,80500.0
2011,Newfoundland and Labrador,Master's degree,"Business, management and public administration [5]",Graduates reporting employment income,86100.0
2011,Newfoundland and Labrador,Master's degree,"Business, management and public administration [5]",Graduates reporting employment income,96600.0
2011,Newfoundland and Labrador,Master's degree,"Business, management and public administration [5]",Graduates reporting employment income,103000.0
2011,Newfoundland and Labrador,Doctoral degree,"Total, field of study",Graduates reporting employment income,89600.0
2011,Newfoundland and Labrador,Doctoral degree,"Total, field of study",Graduates reporting employment income,91300.0
2011,Newfoundland and Labrador,Doctoral degree,"Total, field of study",Graduates reporting employment income,114700.0
2011,Prince Edward Island,"Career, technical or professional training diploma","Total, field of study",Graduates reporting employment income,32400.0
2011,Prince Edward Island,"Career, technical or professional training diploma","Total, field of study",Graduates reporting employment income,38000.0
2011,Prince Edward Island,"Career, technical or professional training diploma","Total, field of study",Graduates reporting employment income,45800.0
2011,Prince Edward Island,"Career, technical or professional training diploma",Social and behavioural sciences and law [4],Graduates reporting employment income,32800.0
2011,Prince Edward Island,"Career, technical or professional training diploma",Social and behavioural sciences and law [4],Graduates reporting employment income,36200.0
2011,Prince Edward Island,"Career, technical or professional training diploma",Social and behavioural sciences and law [4],Graduates reporting employment income,47800.0
2011,Prince Edward Island,"Career, technical or professional training diploma","Business, management and public administration [5]",Graduates reporting employment income,29500.0
2011,Prince Edward Island,"Career, technical or professional training diploma","Business, management and public administration [5]",Graduates reporting employment income,36600.0
2011,Prince Edward Island,"Career, technical or professional training diploma","Business, management and public administration [5]",Graduates reporting employment income,45400.0
2011,Prince Edward Island,"Career, technical or professional training diploma","Architecture, engineering, and related technologies [8]",Graduates reporting employment income,47000.0
2011,Prince Edward Island,"Career, technical or professional training diploma","Architecture, engineering, and related technologies [8]",Graduates reporting employment income,52100.0
2011,Prince Edward Island,"Career, technical or professional training diploma","Architecture, engineering, and related technologies [8]",Graduates reporting employment income,60500.0
2011,Prince Edward Island,"Career, technical or professional training diploma",Health and related fields [10],Graduates reporting employment income,31900.0
2011,Prince Edward Island,"Career, technical or professional training diploma",Health and related fields [10],Graduates reporting employment income,40300.0
2011,Prince Edward Island,"Career, technical or professional training diploma",Health and related fields [10],Graduates reporting employment income,49400.0
2011,Prince Edward Island,"Career, technical or professional training diploma","Personal, protective and transportation services [11]",Graduates reporting employment income,30700.0
2011,Prince Edward Island,"Career, technical or professional training diploma","Personal, protective and transportation services [11]",Graduates reporting employment income,27900.0
2011,Prince Edward Island,"Career, technical or professional training diploma","Personal, protective and transportation services [11]",Graduates reporting employment income,38200.0
2011,Prince Edward Island,Undergraduate degree,"Total, field of study",Graduates reporting employment income,43800.0
2011,Prince Edward Island,Undergraduate degree,"Total, field of study",Graduates reporting employment income,50900.0
2011,Prince Edward Island,Undergraduate degree,"Total, field of study",Graduates reporting employment income,69500.0
2011,Prince Edward Island,Undergraduate degree,Education [1],Graduates reporting employment income,37200.0
2011,Prince Edward Island,Undergraduate degree,Education [1],Graduates reporting employment income,40900.0
2011,Prince Edward Island,Undergraduate degree,Education [1],Graduates reporting employment income,65600.0
2011,Prince Edward Island,Undergraduate degree,Social and behavioural sciences and law [4],Graduates reporting employment income,36000.0
2011,Prince Edward Island,Undergraduate degree,Social and behavioural sciences and law [4],Graduates reporting employment income,46700.0
2011,Prince Edward Island,Undergraduate degree,Social and behavioural sciences and law [4],Graduates reporting employment income,53700.0
2011,Prince Edward Island,Undergraduate degree,"Business, management and public administration [5]",Graduates reporting employment income,42400.0
2011,Prince Edward Island,Undergraduate degree,"Business, management and public administration [5]",Graduates reporting employment income,53000.0
2011,Prince Edward Island,Undergraduate degree,"Business, management and public administration [5]",Graduates reporting employment income,70000.0
2011,Prince Edward Island,Undergraduate degree,Health and related fields [10],Graduates reporting employment income,74600.0
2011,Prince Edward Island,Undergraduate degree,Health and related fields [10],Graduates reporting employment income,80400.0
2011,Prince Edward Island,Undergraduate degree,Health and related fields [10],Graduates reporting employment income,81800.0
2011,Prince Edward Island,Professional degree,"Total, field of study",Graduates reporting employment income,81200.0
2011,Prince Edward Island,Professional degree,"Total, field of study",Graduates reporting employment income,88300.0
2011,Prince Edward Island,Professional degree,"Total, field of study",Graduates reporting employment income,95600.0
2011,Prince Edward Island,Professional degree,Health and related fields [10],Graduates reporting employment income,81200.0
2011,Prince Edward Island,Professional degree,Health and related fields [10],Graduates reporting employment income,88300.0
2011,Prince Edward Island,Professional degree,Health and related fields [10],Graduates reporting employment income,95600.0
2011,Prince Edward Island,Master's degree,"Total, field of study",Graduates reporting employment income,90200.0
2011,Prince Edward Island,Master's degree,"Total, field of study",Graduates reporting employment income,91200.0
2011,Prince Edward Island,Master's degree,"Total, field of study",Graduates reporting employment income,92600.0
2011,Prince Edward Island,Master's degree,Education [1],Graduates reporting employment income,91300.0
2011,Prince Edward Island,Master's degree,Education [1],Graduates reporting employment income,92700.0
2011,Prince Edward Island,Master's degree,Education [1],Graduates reporting employment income,92700.0
2011,Prince Edward Island,Master's degree,"Business, management and public administration [5]",Graduates reporting employment income,99200.0
2011,Prince Edward Island,Master's degree,"Business, management and public administration [5]",Graduates reporting employment income,111100.0
2011,Prince Edward Island,Master's degree,"Business, management and public administration [5]",Graduates reporting employment income,110900.0
2011,Nova Scotia,"Career, technical or professional training diploma","Total, field of study",Graduates reporting employment income,37900.0
2011,Nova Scotia,"Career, technical or professional training diploma","Total, field of study",Graduates reporting employment income,43200.0
2011,Nova Scotia,"Career, technical or professional training diploma","Total, field of study",Graduates reporting employment income,47000.0
2011,Nova Scotia,"Career, technical or professional training diploma",Education [1],Graduates reporting employment income,87200.0
2011,Nova Scotia,"Career, technical or professional training diploma",Education [1],Graduates reporting employment income,89300.0
2011,Nova Scotia,"Career, technical or professional training diploma",Education [1],Graduates reporting employment income,91300.0
2011,Nova Scotia,"Career, technical or professional training diploma","Visual and performing arts, and communications technologies [2]",Graduates reporting employment income,29100.0
2011,Nova Scotia,"Career, technical or professional training diploma","Visual and performing arts, and communications technologies [2]",Graduates reporting employment income,35800.0
2011,Nova Scotia,"Career, technical or professional training diploma","Visual and performing arts, and communications technologies [2]",Graduates reporting employment income,34300.0
2011,Nova Scotia,"Career, technical or professional training diploma",Social and behavioural sciences and law [4],Graduates reporting employment income,28300.0
2011,Nova Scotia,"Career, technical or professional training diploma",Social and behavioural sciences and law [4],Graduates reporting employment income,30600.0
2011,Nova Scotia,"Career, technical or professional training diploma",Social and behavioural sciences and law [4],Graduates reporting employment income,33900.0
2011,Nova Scotia,"Career, technical or professional training diploma","Business, management and public administration [5]",Graduates reporting employment income,31800.0
2011,Nova Scotia,"Career, technical or professional training diploma","Business, management and public administration [5]",Graduates reporting employment income,36700.0
2011,Nova Scotia,"Career, technical or professional training diploma","Business, management and public administration [5]",Graduates reporting employment income,41600.0
2011,Nova Scotia,"Career, technical or professional training diploma","Mathematics, computer and information sciences [7]",Graduates reporting employment income,35800.0
2011,Nova Scotia,"Career, technical or professional training diploma","Mathematics, computer and information sciences [7]",Graduates reporting employment income,43300.0
2011,Nova Scotia,"Career, technical or professional training diploma","Mathematics, computer and information sciences [7]",Graduates reporting employment income,51400.0
